Category,Supplier,Sell Price,Buy Cost,Shipping Cost,Fee %,Ad Cost,Units,Revenue,Product Cost,Shipping Total,Fees Cost,Refund Flag,Refund Cost,Total Cost,Net Profit,Margin %,ROAS,Order Status
Fitness,Hangzhou Health Gear,$31.97,$9.08,$4.13,$0.03,$9.55,$1.00,$31.97,$9.08,$4.13,$0.96,No,$0.00,$23.72,$8.25,25.8%,3.35,Delivered
Electronics,Shenzhen Print Tech,$66.59,$22.27,$7.20,$0.03,$8.13,$1.00,$66.59,$22.27,$7.20,$2.00,No,$0.00,$39.60,$26.99,40.5%,8.19,Delivered
Lifestyle,Shenzhen Smart Home,$33.14,$9.92,$4.43,$0.03,$15.14,$3.00,$99.42,$29.76,$13.29,$2.98,No,$0.00,$61.17,$38.25,38.5%,6.57,Delivered
Automotive,Dongguan Auto Tools,$46.10,$13.88,$6.07,$0.03,$19.95,$3.00,$138.30,$41.64,$18.21,$4.15,No,$0.00,$83.95,$54.35,39.3%,6.93,Delivered
Electronics,Shenzhen Print Tech,$56.74,$22.61,$6.50,$0.03,$16.87,$2.00,$113.48,$45.22,$13.00,$3.40,No,$0.00,$78.49,$34.99,30.8%,6.73,Delivered
Kitchen,Foshan Appliances,$55.30,$17.06,$6.13,$0.03,$10.97,$3.00,$165.90,$51.18,$18.39,$4.98,No,$0.00,$85.52,$80.38,48.5%,15.12,Delivered
Home Decor,Yiwu Lighting Factory,$25.06,$6.33,$3.39,$0.03,$3.93,$2.00,$50.12,$12.66,$6.78,$1.50,No,$0.00,$24.87,$25.25,50.4%,12.75,Delivered
Electronics,Shenzhen Audio Co.,$39.18,$8.79,$4.12,$0.03,$10.14,$2.00,$78.36,$17.58,$8.24,$2.35,No,$0.00,$38.31,$40.05,51.1%,7.73,Delivered
Kitchen,Foshan Appliances,$51.41,$16.76,$6.70,$0.03,$4.03,$2.00,$102.82,$33.52,$13.40,$3.08,Yes,$51.41,$105.44,-$2.62,-2.5%,25.51,Refunded
Fitness,Hangzhou Health Gear,$32.72,$9.43,$3.70,$0.03,$8.53,$2.00,$65.44,$18.86,$7.40,$1.96,No,$0.00,$36.75,$28.69,43.8%,7.67,Delivered
Lifestyle,Shenzhen Smart Home,$34.27,$10.78,$4.28,$0.03,$4.96,$1.00,$34.27,$10.78,$4.28,$1.03,No,$0.00,$21.05,$13.22,38.6%,6.91,Delivered
Electronics,Shenzhen Print Tech,$56.19,$21.23,$7.93,$0.03,$20.60,$3.00,$168.57,$63.69,$23.79,$5.06,No,$0.00,$113.14,$55.43,32.9%,8.18,Delivered
Automotive,Dongguan Auto Tools,$45.31,$14.57,$6.44,$0.03,$29.55,$3.00,$135.93,$43.71,$19.32,$4.08,No,$0.00,$96.66,$39.27,28.9%,4.60,Delivered
Kitchen,Foshan Appliances,$49.50,$16.44,$6.69,$0.03,$23.78,$3.00,$148.50,$49.32,$20.07,$4.46,No,$0.00,$97.63,$50.87,34.3%,6.24,Delivered
Electronics,Shenzhen Audio Co.,$37.72,$8.83,$3.99,$0.03,$9.81,$1.00,$37.72,$8.83,$3.99,$1.13,No,$0.00,$23.76,$13.96,37.0%,3.85,Delivered
Beauty,Ningbo Beauty Supply,$29.99,$6.75,$4.41,$0.03,$5.82,$1.00,$29.99,$6.75,$4.41,$0.90,No,$0.00,$17.88,$12.11,40.4%,5.15,Delivered
Home Decor,Yiwu Lighting Factory,$24.63,$6.17,$3.76,$0.03,$0.00,$3.00,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,0.0%,0.00,Cancelled
Automotive,Dongguan Auto Tools,$43.66,$14.08,$7.26,$0.03,$12.37,$3.00,$130.98,$42.24,$21.78,$3.93,No,$0.00,$80.32,$50.66,38.7%,10.59,Delivered
Lifestyle,Shenzhen Smart Home,$31.13,$9.56,$4.24,$0.03,$2.98,$1.00,$31.13,$9.56,$4.24,$0.93,Yes,$22.06,$39.77,-$8.64,-27.8%,10.45,Refunded
Automotive,Dongguan Auto Tools,$40.75,$14.72,$6.66,$0.03,$4.65,$1.00,$40.75,$14.72,$6.66,$1.22,No,$0.00,$27.25,$13.50,33.1%,8.76,Delivered
Electronics,Shenzhen Print Tech,$59.30,$22.66,$7.67,$0.03,$8.89,$1.00,$59.30,$22.66,$7.67,$1.78,No,$0.00,$41.00,$18.30,30.9%,6.67,Delivered
Home Decor,Yiwu Lighting Factory,$23.12,$6.07,$3.28,$0.03,$12.53,$3.00,$69.36,$18.21,$9.84,$2.08,Yes,$52.19,$94.85,-$25.49,-36.8%,5.54,Refunded
Electronics,Shenzhen Print Tech,$62.22,$21.10,$7.38,$0.03,$7.50,$2.00,$124.44,$42.20,$14.76,$3.73,No,$0.00,$68.19,$56.25,45.2%,16.59,Delivered
Lifestyle,Shenzhen Smart Home,$33.57,$9.57,$4.49,$0.03,$3.97,$1.00,$33.57,$9.57,$4.49,$1.01,No,$0.00,$19.04,$14.53,43.3%,8.46,Delivered
Automotive,Dongguan Auto Tools,$47.88,$15.04,$7.13,$0.03,$5.94,$1.00,$47.88,$15.04,$7.13,$1.44,No,$0.00,$29.55,$18.33,38.3%,8.06,Delivered
Fitness,Hangzhou Health Gear,$34.97,$9.71,$4.17,$0.03,$8.59,$1.00,$34.97,$9.71,$4.17,$1.05,No,$0.00,$23.52,$11.45,32.7%,4.07,Delivered
Electronics,Shenzhen Audio Co.,$36.47,$8.11,$3.83,$0.03,$6.00,$1.00,$36.47,$8.11,$3.83,$1.09,No,$0.00,$19.03,$17.44,47.8%,6.08,Delivered
Automotive,Dongguan Auto Tools,$40.83,$14.16,$6.29,$0.03,$16.84,$2.00,$81.66,$28.32,$12.58,$2.45,No,$0.00,$60.19,$21.47,26.3%,4.85,Delivered
Lifestyle,Shenzhen Smart Home,$36.91,$9.60,$4.30,$0.03,$9.29,$1.00,$36.91,$9.60,$4.30,$1.11,No,$0.00,$24.30,$12.61,34.2%,3.97,Delivered
Fitness,Hangzhou Health Gear,$31.80,$9.52,$4.35,$0.03,$8.88,$1.00,$31.80,$9.52,$4.35,$0.95,Yes,$24.16,$47.86,-$16.06,-50.5%,3.58,Refunded
Kitchen,Foshan Appliances,$53.67,$16.15,$5.89,$0.03,$11.87,$2.00,$107.34,$32.30,$11.78,$3.22,No,$0.00,$59.17,$48.17,44.9%,9.04,Delivered
Kitchen,Foshan Appliances,$45.03,$16.46,$5.58,$0.03,$6.30,$1.00,$45.03,$16.46,$5.58,$1.35,No,$0.00,$29.69,$15.34,34.1%,7.15,Delivered
Pets,Yiwu Pet Products,$19.53,$3.59,$2.63,$0.03,$13.24,$2.00,$39.06,$7.18,$5.26,$1.17,No,$0.00,$26.85,$12.21,31.3%,2.95,Delivered
Kitchen,Foshan Appliances,$55.84,$15.56,$6.64,$0.03,$26.44,$3.00,$167.52,$46.68,$19.92,$5.03,No,$0.00,$98.07,$69.45,41.5%,6.34,Delivered
Kitchen,Foshan Appliances,$51.97,$16.64,$5.41,$0.03,$16.76,$2.00,$103.94,$33.28,$10.82,$3.12,No,$0.00,$63.98,$39.96,38.4%,6.20,Delivered
Home Decor,Yiwu Lighting Factory,$23.28,$5.90,$3.55,$0.03,$15.55,$2.00,$46.56,$11.80,$7.10,$1.40,No,$0.00,$35.85,$10.71,23.0%,2.99,Delivered
Kitchen,Foshan Appliances,$55.63,$16.99,$5.84,$0.03,$7.53,$1.00,$55.63,$16.99,$5.84,$1.67,No,$0.00,$32.03,$23.60,42.4%,7.39,Delivered
Beauty,Ningbo Beauty Supply,$30.87,$7.40,$4.59,$0.03,$8.67,$1.00,$30.87,$7.40,$4.59,$0.93,No,$0.00,$21.59,$9.28,30.1%,3.56,Delivered
Pets,Yiwu Pet Products,$20.44,$3.58,$2.51,$0.03,$4.16,$2.00,$40.88,$7.16,$5.02,$1.23,No,$0.00,$17.57,$23.31,57.0%,9.83,Delivered
Kitchen,Foshan Appliances,$45.52,$16.59,$5.97,$0.03,$8.60,$1.00,$45.52,$16.59,$5.97,$1.37,No,$0.00,$32.53,$12.99,28.5%,5.29,Delivered
Accessories,Guangzhou Cases Ltd.,$16.38,$2.05,$2.08,$0.03,$6.69,$3.00,$49.14,$6.15,$6.24,$1.47,No,$0.00,$20.55,$28.59,58.2%,7.35,Delivered
Lifestyle,Shenzhen Smart Home,$34.20,$10.31,$3.77,$0.03,$20.49,$2.00,$68.40,$20.62,$7.54,$2.05,No,$0.00,$50.70,$17.70,25.9%,3.34,Delivered
Kitchen,Foshan Appliances,$47.10,$15.93,$5.52,$0.03,$2.85,$1.00,$47.10,$15.93,$5.52,$1.41,No,$0.00,$25.71,$21.39,45.4%,16.53,Delivered
Home Decor,Yiwu Lighting Factory,$22.70,$6.35,$3.30,$0.03,$15.42,$2.00,$45.40,$12.70,$6.60,$1.36,No,$0.00,$36.08,$9.32,20.5%,2.94,Delivered
Lifestyle,Shenzhen Smart Home,$30.94,$9.95,$4.26,$0.03,$8.29,$1.00,$30.94,$9.95,$4.26,$0.93,No,$0.00,$23.43,$7.51,24.3%,3.73,Delivered
Home Decor,Yiwu Lighting Factory,$24.10,$6.22,$3.82,$0.03,$8.88,$1.00,$24.10,$6.22,$3.82,$0.72,No,$0.00,$19.64,$4.46,18.5%,2.71,Delivered
Accessories,Guangzhou Cases Ltd.,$16.71,$1.98,$1.90,$0.03,$9.01,$2.00,$33.42,$3.96,$3.80,$1.00,Yes,$28.74,$46.51,-$13.09,-39.2%,3.71,Refunded
Electronics,Shenzhen Print Tech,$55.35,$23.15,$6.64,$0.03,$30.19,$3.00,$166.05,$69.45,$19.92,$4.98,No,$0.00,$124.54,$41.51,25.0%,5.50,Delivered
Electronics,Shenzhen Print Tech,$64.25,$21.97,$6.33,$0.03,$6.01,$1.00,$64.25,$21.97,$6.33,$1.93,No,$0.00,$36.24,$28.01,43.6%,10.69,Delivered
Home Decor,Yiwu Lighting Factory,$22.57,$6.23,$3.45,$0.03,$8.34,$2.00,$45.14,$12.46,$6.90,$1.35,Yes,$26.08,$55.13,-$9.99,-22.1%,5.41,Refunded
Pets,Yiwu Pet Products,$21.22,$3.57,$2.58,$0.03,$5.63,$1.00,$21.22,$3.57,$2.58,$0.64,Yes,$11.72,$24.14,-$2.92,-13.8%,3.77,Refunded
Home Decor,Yiwu Lighting Factory,$27.08,$6.08,$3.43,$0.03,$3.76,$2.00,$54.16,$12.16,$6.86,$1.62,No,$0.00,$24.40,$29.76,54.9%,14.40,Delivered
Kitchen,Foshan Appliances,$50.59,$17.08,$6.64,$0.03,$7.80,$1.00,$50.59,$17.08,$6.64,$1.52,No,$0.00,$33.04,$17.55,34.7%,6.49,Delivered
Automotive,Dongguan Auto Tools,$46.27,$14.57,$7.28,$0.03,$4.85,$1.00,$46.27,$14.57,$7.28,$1.39,No,$0.00,$28.09,$18.18,39.3%,9.54,Delivered
Accessories,Guangzhou Cases Ltd.,$15.55,$2.09,$2.26,$0.03,$7.17,$2.00,$31.10,$4.18,$4.52,$0.93,No,$0.00,$16.80,$14.30,46.0%,4.34,Delivered
Automotive,Dongguan Auto Tools,$48.41,$15.06,$6.36,$0.03,$12.97,$2.00,$96.82,$30.12,$12.72,$2.90,No,$0.00,$58.71,$38.11,39.4%,7.46,Delivered
Lifestyle,Shenzhen Smart Home,$32.23,$9.90,$3.66,$0.03,$0.00,$1.00,$32.23,$9.90,$3.66,$0.97,No,$0.00,$14.53,$17.70,54.9%,0.00,Delivered
Electronics,Shenzhen Audio Co.,$43.94,$8.82,$4.01,$0.03,$3.96,$1.00,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,-$3.96,0.0%,0.00,Cancelled
Electronics,Shenzhen Audio Co.,$38.49,$8.65,$3.87,$0.03,$2.22,$1.00,$38.49,$8.65,$3.87,$1.15,No,$0.00,$15.89,$22.60,58.7%,17.34,Delivered
Electronics,Shenzhen Audio Co.,$39.20,$8.15,$3.87,$0.03,$5.35,$2.00,$78.40,$16.30,$7.74,$2.35,No,$0.00,$31.74,$46.66,59.5%,14.65,Delivered
Fitness,Hangzhou Health Gear,$34.54,$8.58,$4.57,$0.03,$1.80,$1.00,$34.54,$8.58,$4.57,$1.04,No,$0.00,$15.99,$18.55,53.7%,19.19,Delivered
Automotive,Dongguan Auto Tools,$45.71,$14.04,$6.73,$0.03,$20.32,$2.00,$91.42,$28.08,$13.46,$2.74,No,$0.00,$64.60,$26.82,29.3%,4.50,Delivered
Electronics,Shenzhen Audio Co.,$44.43,$9.11,$4.41,$0.03,$10.26,$1.00,$44.43,$9.11,$4.41,$1.33,No,$0.00,$25.11,$19.32,43.5%,4.33,Delivered
Home Decor,Yiwu Lighting Factory,$23.14,$5.74,$3.26,$0.03,$2.43,$1.00,$23.14,$5.74,$3.26,$0.69,No,$0.00,$12.12,$11.02,47.6%,9.52,Delivered
Lifestyle,Shenzhen Smart Home,$33.64,$10.52,$4.44,$0.03,$7.97,$1.00,$33.64,$10.52,$4.44,$1.01,No,$0.00,$23.94,$9.70,28.8%,4.22,Delivered
Pets,Yiwu Pet Products,$19.04,$3.66,$2.49,$0.03,$0.00,$2.00,$38.08,$7.32,$4.98,$1.14,No,$0.00,$13.44,$24.64,64.7%,0.00,Delivered
Fitness,Hangzhou Health Gear,$37.52,$9.35,$4.17,$0.03,$3.54,$1.00,$37.52,$9.35,$4.17,$1.13,No,$0.00,$18.19,$19.33,51.5%,10.60,Delivered
Fitness,Hangzhou Health Gear,$32.24,$8.89,$4.59,$0.03,$20.35,$2.00,$64.48,$17.78,$9.18,$1.93,No,$0.00,$49.24,$15.24,23.6%,3.17,Delivered
Beauty,Ningbo Beauty Supply,$28.39,$7.21,$4.90,$0.03,$9.03,$2.00,$56.78,$14.42,$9.80,$1.70,No,$0.00,$34.95,$21.83,38.4%,6.29,Delivered
Pets,Yiwu Pet Products,$20.86,$3.36,$2.51,$0.03,$0.00,$2.00,$41.72,$6.72,$5.02,$1.25,No,$0.00,$12.99,$28.73,68.9%,0.00,Delivered
Pets,Yiwu Pet Products,$21.68,$3.69,$2.64,$0.03,$0.00,$1.00,$21.68,$3.69,$2.64,$0.65,No,$0.00,$6.98,$14.70,67.8%,0.00,Delivered
Electronics,Shenzhen Print Tech,$65.32,$22.49,$7.33,$0.03,$3.43,$1.00,$65.32,$22.49,$7.33,$1.96,No,$0.00,$35.21,$30.11,46.1%,19.04,Delivered
Electronics,Shenzhen Audio Co.,$37.90,$8.31,$4.26,$0.03,$17.11,$2.00,$75.80,$16.62,$8.52,$2.27,No,$0.00,$44.52,$31.28,41.3%,4.43,Delivered
Electronics,Shenzhen Print Tech,$63.39,$23.22,$7.46,$0.03,$13.41,$3.00,$190.17,$69.66,$22.38,$5.71,No,$0.00,$111.16,$79.01,41.5%,14.18,Delivered
Pets,Yiwu Pet Products,$21.71,$3.61,$2.77,$0.03,$17.42,$2.00,$43.42,$7.22,$5.54,$1.30,No,$0.00,$31.48,$11.94,27.5%,2.49,Delivered
Kitchen,Foshan Appliances,$47.47,$15.46,$6.81,$0.03,$19.52,$3.00,$142.41,$46.38,$20.43,$4.27,No,$0.00,$90.60,$51.81,36.4%,7.30,Delivered
Accessories,Guangzhou Cases Ltd.,$15.07,$2.00,$1.80,$0.03,$9.71,$1.00,$15.07,$2.00,$1.80,$0.45,No,$0.00,$13.96,$1.11,7.4%,1.55,Delivered
Beauty,Ningbo Beauty Supply,$32.83,$7.29,$4.40,$0.03,$18.42,$2.00,$65.66,$14.58,$8.80,$1.97,No,$0.00,$43.77,$21.89,33.3%,3.56,Delivered
Kitchen,Foshan Appliances,$51.64,$16.29,$6.23,$0.03,$0.00,$1.00,$51.64,$16.29,$6.23,$1.55,No,$0.00,$24.07,$27.57,53.4%,0.00,Delivered
Lifestyle,Shenzhen Smart Home,$30.38,$10.49,$4.21,$0.03,$5.29,$2.00,$60.76,$20.98,$8.42,$1.82,No,$0.00,$36.51,$24.25,39.9%,11.49,Delivered
Lifestyle,Shenzhen Smart Home,$32.39,$10.39,$3.74,$0.03,$9.52,$1.00,$32.39,$10.39,$3.74,$0.97,No,$0.00,$24.62,$7.77,24.0%,3.40,Delivered
Electronics,Shenzhen Print Tech,$61.31,$21.33,$6.99,$0.03,$17.59,$2.00,$122.62,$42.66,$13.98,$3.68,No,$0.00,$77.91,$44.71,36.5%,6.97,Delivered
Automotive,Dongguan Auto Tools,$43.76,$14.95,$7.40,$0.03,$16.24,$2.00,$87.52,$29.90,$14.80,$2.63,No,$0.00,$63.57,$23.95,27.4%,5.39,Delivered
Pets,Yiwu Pet Products,$21.59,$3.36,$2.37,$0.03,$8.22,$1.00,$21.59,$3.36,$2.37,$0.65,No,$0.00,$14.60,$6.99,32.4%,2.63,Delivered
Home Decor,Yiwu Lighting Factory,$22.78,$6.14,$3.21,$0.03,$5.01,$1.00,$22.78,$6.14,$3.21,$0.68,No,$0.00,$15.04,$7.74,34.0%,4.55,Delivered
Accessories,Guangzhou Cases Ltd.,$15.50,$2.10,$2.16,$0.03,$16.92,$2.00,$31.00,$4.20,$4.32,$0.93,No,$0.00,$26.37,$4.63,14.9%,1.83,Delivered
Electronics,Shenzhen Audio Co.,$36.56,$8.86,$4.33,$0.03,$8.52,$1.00,$36.56,$8.86,$4.33,$1.10,No,$0.00,$22.81,$13.75,37.6%,4.29,Delivered
Pets,Yiwu Pet Products,$20.24,$3.65,$2.49,$0.03,$19.16,$2.00,$40.48,$7.30,$4.98,$1.21,No,$0.00,$32.65,$7.83,19.3%,2.11,Delivered
Fitness,Hangzhou Health Gear,$34.53,$9.24,$3.62,$0.03,$7.47,$1.00,$34.53,$9.24,$3.62,$1.04,No,$0.00,$21.37,$13.16,38.1%,4.62,Delivered
Fitness,Hangzhou Health Gear,$38.32,$8.62,$4.04,$0.03,$0.00,$1.00,$38.32,$8.62,$4.04,$1.15,No,$0.00,$13.81,$24.51,64.0%,0.00,Delivered
Automotive,Dongguan Auto Tools,$45.14,$14.11,$7.25,$0.03,$3.93,$1.00,$45.14,$14.11,$7.25,$1.35,No,$0.00,$26.64,$18.50,41.0%,11.49,Delivered
Fitness,Hangzhou Health Gear,$36.54,$9.39,$3.91,$0.03,$0.00,$1.00,$36.54,$9.39,$3.91,$1.10,No,$0.00,$14.40,$22.14,60.6%,0.00,Delivered
Electronics,Shenzhen Audio Co.,$40.87,$9.02,$4.05,$0.03,$27.99,$3.00,$122.61,$27.06,$12.15,$3.68,No,$0.00,$70.88,$51.73,42.2%,4.38,Delivered
